secID,ticker,secShortName,cnSpell,exchangeCD,assetClass,listStatusCD,listDate,transCurrCD,ISIN,partyID
002555.XSHE,002555,顺荣三七,SRSQ,XSHE,E,L,2011-03-02,CNY,CNE1000010N2,37160.0
002556.XSHE,002556,辉隆股份,HLGF,XSHE,E,L,2011-03-02,CNY,CNE1000010P7,40413.0
002557.XSHE,002557,洽洽食品,QQSP,XSHE,E,L,2011-03-02,CNY,CNE1000010Q5,39892.0
002558.XSHE,002558,世纪游轮,SJYL,XSHE,E,L,2011-03-02,CNY,CNE1000010R3,40303.0
002559.XSHE,002559,亚威股份,YWGF,XSHE,E,L,2011-03-03,CNY,CNE1000010S1,40316.0
002560.XSHE,002560,通达股份,TDGF,XSHE,E,L,2011-03-03,CNY,CNE1000010T9,40640.0
002561.XSHE,002561,徐家汇,XJH,XSHE,E,L,2011-03-03,CNY,CNE1000010V5,25054.0
002562.XSHE,002562,兄弟科技,XDKJ,XSHE,E,L,2011-03-10,CNY,CNE1000010Y9,40764.0
002563.XSHE,002563,森马服饰,SMFS,XSHE,E,L,2011-03-11,CNY,CNE100001104,40742.0
002564.XSHE,002564,天沃科技,TWKJ,XSHE,E,L,2011-03-10,CNY,CNE1000010Z6,40765.0
002565.XSHE,002565,上海绿新,SHLX,XSHE,E,L,2011-03-18,CNY,CNE1000011B5,40693.0
002566.XSHE,002566,益盛药业,YSYY,XSHE,E,L,2011-03-18,CNY,CNE1000011C3,36346.0
002567.XSHE,002567,唐人神,TRS,XSHE,E,L,2011-03-25,CNY,CNE1000011J8,39830.0
002568.XSHE,002568,百润股份,BRGF,XSHE,E,L,2011-03-25,CNY,CNE1000011K6,42135.0
002569.XSHE,002569,步森股份,BSGF,XSHE,E,L,2011-04-12,CNY,CNE1000011X9,38231.0
002570.XSHE,002570,贝因美,BYM,XSHE,E,L,2011-04-12,CNY,CNE1000011Y7,40101.0
002571.XSHE,002571,德力股份,DLGF,XSHE,E,L,2011-04-12,CNY,CNE1000011Z4,40766.0
002572.XSHE,002572,索菲亚,SFY,XSHE,E,L,2011-04-12,CNY,CNE100001203,42794.0
002573.XSHE,002573,清新环境,QXHJ,XSHE,E,L,2011-04-22,CNY,CNE100001278,37032.0
002574.XSHE,002574,明牌珠宝,MPZB,XSHE,E,L,2011-04-22,CNY,CNE100001286,43131.0
002575.XSHE,002575,群兴玩具,QXWJ,XSHE,E,L,2011-04-22,CNY,CNE100001294,43222.0
002576.XSHE,002576,通达动力,TDDL,XSHE,E,L,2011-04-28,CNY,CNE1000012G2,43133.0
002577.XSHE,002577,雷柏科技,LBKJ,XSHE,E,L,2011-04-28,CNY,CNE1000012J6,40694.0
002578.XSHE,002578,闽发铝业,MFLY,XSHE,E,L,2011-04-28,CNY,CNE1000012H0,43722.0
